"","SRR13639990","SRR13639992","SRR13639993","SRR13639994","SRR13639995","SRR13639999","SRR13640002","SRR13640004","SRR19173185","SRR19173191","SRR19173211","SRR19173215","SRR19173217","SRR19173231","SRR19173232","SRR19173243"
"ENSG00000286518.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000130762.15",2,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0
"ENSG00000272088.1",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000162591.17",427,182,81,177,839,509,455,140,60,24,251,164,117,111,194,53
"ENSG00000207776.1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238260.3",3,2,0,1,6,1,2,2,0,0,0,5,0,5,0,0
"ENSG00000158109.15",753,833,938,865,1252,1402,1316,280,27,10,117,103,55,128,90,25
"ENSG00000116213.16",154,188,184,173,352,306,375,76,116,28,603,269,891,501,214,348
"ENSG00000078900.15",3,2,3,10,3,13,7,1,2,0,0,14,0,24,0,0
"ENSG00000227589.1",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"ENSG00000235131.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227372.12",115,70,75,45,292,183,222,49,10,0,99,62,48,43,19,67
"ENSG00000276189.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162592.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000235169.11",55,14,8,18,12,6,8,1,0,0,1,2,8,11,0,3
"ENSG00000130764.10",189,273,277,233,323,499,342,67,46,18,232,220,301,119,61,86
"ENSG00000266075.2",1,0,0,0,2,1,0,0,0,0,4,3,0,0,0,6
"ENSG00000272153.1",5,1,1,6,4,6,3,1,0,0,3,0,9,3,0,3
"ENSG00000116198.14",165,148,133,124,584,402,693,119,9,4,178,84,122,106,32,73
"ENSG00000169598.17",48,64,37,33,169,137,176,21,17,0,158,129,159,214,107,192
"ENSG00000198912.12",131,156,144,119,257,542,371,50,92,53,519,446,306,207,298,742
"ENSG00000236423.8",2,0,1,1,2,0,7,0,2,0,10,2,0,0,12,3
"ENSG00000233304.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226374.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284668.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284703.1",0,1,0,2,0,1,1,0,0,0,3,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284694.1",1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232596.3",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000196581.11",7,5,1,1,19,13,4,1,0,0,0,2,0,9,1,0
"ENSG00000287586.1",0,0,1,0,7,1,6,2,0,0,0,0,0,3,0,4
"ENSG00000284739.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231510.1",1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"ENSG00000284616.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284692.2",4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000284666.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948.2",1,0,0,0,2,0,2,2,0,0,14,7,0,0,4,5
"ENSG00000264341.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000289893.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131697.18",95,108,58,93,127,151,158,38,21,19,146,140,101,78,63,150
"ENSG00000069424.16",3511,4822,4144,4174,2592,2396,3326,470,515,236,2308,2075,3073,3418,1798,2263
"ENSG00000116254.18",4,3,10,4,12,1,2,1,0,0,4,0,4,3,0,0
"ENSG00000285629.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116251.11",691,454,458,295,837,944,877,126,68,26,618,565,604,290,369,657
"ENSG00000226944.1",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000158286.13",17,10,3,3,60,20,33,6,5,6,55,42,49,35,27,28
"ENSG00000116237.16",49,73,108,64,284,131,521,61,55,3,406,64,64,292,23,118
"ENSG00000225077.3",1,1,0,1,2,1,0,1,0,0,2,0,0,0,0,0
"ENSG00000173673.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158292.7",20,107,52,93,54,89,73,12,2,0,17,0,12,3,0,34
"ENSG00000097021.21",116,57,139,71,74,61,94,20,106,17,119,122,139,73,170,409
"ENSG00000271746.1",1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
"ENSG00000069812.11",4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187017.18",10,7,3,50,26,13,16,2,0,0,3,0,0,0,0,0
"ENSG00000265392.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215788.11",836,380,263,274,976,777,400,50,85,31,1800,1524,1037,160,317,337
"ENSG00000171680.23",26,16,5,5,56,50,38,2,1,0,13,17,10,0,2,11
"ENSG00000162408.11",346,445,391,309,335,561,282,50,59,60,484,444,329,192,158,227
"ENSG00000253022.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229519.2",5,4,1,4,0,4,2,2,0,0,3,20,5,0,0,1
"ENSG00000173662.21",18,10,13,13,16,2,12,1,0,0,0,0,0,6,0,0
"ENSG00000204859.13",423,303,462,396,428,353,444,87,74,73,561,159,546,378,173,254
"ENSG00000162413.17",1333,1332,2581,1611,871,1607,856,192,252,18,574,253,203,1024,137,176
"ENSG00000116273.6",411,514,352,537,259,345,283,103,45,0,158,9,11,82,61,46
"ENSG00000041988.16",68,94,122,87,120,155,138,36,21,9,213,161,136,57,85,118
"ENSG00000007923.17",135,152,199,131,271,202,272,36,31,55,515,461,437,458,238,455
"ENSG00000228750.7",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000284744.1",3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237436.1",2,1,2,0,6,2,7,1,0,0,0,0,0,0,0,0
"ENSG00000171735.21",287,297,259,269,262,354,321,61,55,16,165,221,174,128,111,118
"ENSG00000227950.1",1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,2
"ENSG00000237365.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207056.1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000237402.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237728.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225126.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270171.1",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"ENSG00000270035.1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000269978.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000049245.13",1207,1873,2801,1585,1410,2263,2279,717,507,137,719,855,1021,879,997,1621
"ENSG00000269925.1",14,11,6,10,39,10,21,4,0,0,17,10,6,6,0,2
"ENSG00000049246.15",71,45,37,27,124,105,195,13,6,16,68,43,58,37,93,24
"ENSG00000236266.1",0,3,6,0,0,2,5,0,0,0,1,9,8,0,0,4
"ENSG00000049247.14",169,98,37,2,246,148,226,0,0,4,120,6,0,60,80,0
"ENSG00000049249.10",37,26,66,107,70,46,81,46,34,5,20,87,54,34,15,24
"ENSG00000270330.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116288.13",559,426,491,381,695,978,1138,205,342,78,1612,1409,1545,847,799,1524
"ENSG00000200344.1",1,0,2,0,0,0,0,0,0,1,8,4,3,0,1,7
"ENSG00000284747.1",6,2,3,0,7,0,7,4,0,0,4,4,0,2,0,3
"ENSG00000284716.1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116285.13",104,246,226,260,28,71,27,6,10,2,92,24,24,21,51,69
