"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","direction","significant"
"ENSG00000116133.13",158.796550626435,1.83587094479304,0.481694774525103,5.30230803386015e-06,0.000660703995734962,"Up",TRUE
"ENSG00000005020.13",1004.25117209482,1.43598117566346,0.381498961866916,5.31945099205435e-06,0.000660703995734962,"Up",TRUE
"ENSG00000204131.11",530.441835332808,2.11665248708989,0.690338946516472,5.31753176728868e-06,0.000660703995734962,"Up",TRUE
"ENSG00000106638.18",194.015527075793,-1.25642199254355,0.32260660501828,5.35771938531308e-06,0.000661079125470703,"Down",TRUE
"ENSG00000111261.14",116.614677309602,2.44432393293378,0.800423965705957,5.47271481777116e-06,0.000670854682400641,"Up",TRUE
"ENSG00000137757.11",59.313631936045,2.72914208838236,0.832059554199124,5.82239645868157e-06,0.00070450997150047,"Up",TRUE
"ENSG00000168904.15",111.793354250814,0.932295851016743,0.230669945206408,5.8078611690307e-06,0.00070450997150047,"NS",FALSE
"ENSG00000116786.13",1160.44951257924,-1.40262443696582,0.37201966301296,5.98718203280803e-06,0.000719805121957145,"Down",TRUE
"ENSG00000146918.20",107.275412084512,0.990447148526925,0.249003128347589,6.14555312784051e-06,0.000734139165048719,"NS",FALSE
"ENSG00000138449.11",1192.36047693898,1.24030180711546,0.318901412877984,6.3114649350117e-06,0.00074918686617813,"Up",TRUE
"ENSG00000154928.19",42.2392858450727,2.62403079734304,0.843721764369971,6.52729181413982e-06,0.000769933069020077,"Up",TRUE
"ENSG00000238113.7",122.492844312326,1.95940951897176,0.517777796649173,6.74046077751871e-06,0.000790108386764771,"Up",TRUE
"ENSG00000162585.17",113.217028519416,-0.946550709022319,0.237426301276874,7.00508009362479e-06,0.000812463453938666,"NS",FALSE
"ENSG00000279700.1",35.9065888094353,-2.22633607046965,0.617308078521113,7.01781282527666e-06,0.000812463453938666,"Down",TRUE
"ENSG00000130513.7",24.5752218094816,-2.69213588294954,0.773071256619152,7.18577082848956e-06,0.000821762999319035,"Down",TRUE
"ENSG00000101210.14",16.1138314821587,-3.62415968883858,1.00283451948463,7.15638464319626e-06,0.000821762999319035,"Down",TRUE
"ENSG00000276517.1",73.7865153318507,-1.41548065234811,0.371637371753807,7.47533959264102e-06,0.000849696933696862,"Down",TRUE
"ENSG00000149782.13",161.609466109118,-1.69860013585026,0.456078170187046,7.74330114016727e-06,0.000874853089661669,"Down",TRUE
"ENSG00000071967.12",259.208243783142,1.70155408437749,0.499502326652997,7.89537590117271e-06,0.000886693263631702,"Up",TRUE
"ENSG00000286076.2",69.8125018671701,2.39627621438087,0.673041512789929,8.06051450964196e-06,0.000899850890644851,"Up",TRUE
"ENSG00000136717.15",748.890538139128,-1.14420548125651,0.296434516542517,8.8844769355417e-06,0.000969440132758996,"Down",TRUE
"ENSG00000229390.1",7.64829601472399,3.3159769850351,0.935172327488473,8.80302037219449e-06,0.000969440132758996,"Up",TRUE
"ENSG00000178093.14",16.9191371839423,-1.44247921943017,0.37909987792127,8.89062665073566e-06,0.000969440132758996,"Down",TRUE
"ENSG00000157551.19",865.649221750531,2.4808591700417,0.913136875696802,8.82030957805917e-06,0.000969440132758996,"Up",TRUE
"ENSG00000072694.22",120.116500973672,1.12988229318767,0.293525422423254,9.49599585749843e-06,0.00102354828912289,"Up",TRUE
"ENSG00000132589.16",2264.65816245229,1.2125711584128,0.328491950910906,9.46671347930588e-06,0.00102354828912289,"Up",TRUE
"ENSG00000143409.17",384.117297957079,1.50422543357407,0.399620592895942,9.67503030759976e-06,0.0010309954171536,"Up",TRUE
"ENSG00000165140.12",371.848113749481,-1.49714214426413,0.444779778459316,9.64968414997944e-06,0.0010309954171536,"Down",TRUE
"ENSG00000113391.19",258.201984543709,0.79246359006512,0.199767572969233,9.75244930210695e-06,0.00103337393593794,"NS",FALSE
"ENSG00000076984.18",337.194805223484,-0.996224170468034,0.26372625413627,1.11118822165538e-05,0.00117080534253633,"NS",FALSE
"ENSG00000145287.11",616.999195548335,0.983214956069131,0.258904133713324,1.15586285916255e-05,0.00120928855210794,"NS",FALSE
"ENSG00000120963.12",443.640345838205,-0.555919494102475,0.136501183710088,1.16060751468637e-05,0.00120928855210794,"NS",FALSE
"ENSG00000166949.17",906.477632006415,-1.2259003819932,0.340565926489741,1.18143062614913e-05,0.00122418405488546,"Down",TRUE
